AccountID,CustomerID,AccountType,Balance,OpenDate,Status,BranchID,BranchName,City
163,47,CHECKING,3700,2021-10-28,ACTIVE,7,Central Branch,Dallas
164,48,SAVINGS,42000,2020-02-09,ACTIVE,8,NorthWest Branch,Seattle
165,49,CHECKING,800,2022-07-19,ACTIVE,9,Harbor Branch,Boston
166,50,SAVINGS,10500,2021-03-06,ACTIVE,10,Lakeside Branch,Denver
167,50,CHECKING,2200,2021-04-01,ACTIVE,10,Lakeside Branch,Denver
168,3,SAVINGS,15000,2023-01-10,ACTIVE,3,West Branch,Los Angeles
169,51,SAVINGS,32000,2021-05-15,ACTIVE,30,Strip Branch,Las Vegas
170,51,CHECKING,4800,2021-06-01,ACTIVE,30,Strip Branch,Las Vegas
171,52,SAVINGS,15500,2020-09-12,ACTIVE,31,Broadway Branch,Nashville
172,53,CHECKING,6200,2019-04-08,ACTIVE,32,Sixth Street Branch,Austin
173,53,SAVINGS,78000,2019-05-01,ACTIVE,32,Sixth Street Branch,Austin
174,54,SAVINGS,9300,2022-02-14,ACTIVE,33,Gaslamp Branch,San Diego
175,55,CHECKING,3400,2021-08-20,ACTIVE,34,Midtown Branch,Detroit
176,55,SAVINGS,21000,2021-09-01,ACTIVE,34,Midtown Branch,Detroit
177,56,SAVINGS,44000,2020-11-30,ACTIVE,35,Uptown Branch,Minneapolis
178,57,CHECKING,7100,2018-07-25,ACTIVE,36,Gateway Branch,St. Louis
179,58,SAVINGS,13800,2022-04-05,ACTIVE,37,Inner Harbor Branch,Baltimore
180,59,CHECKING,5600,2019-10-18,ACTIVE,38,Research Branch,Raleigh
181,59,SAVINGS,37000,2019-11-01,ACTIVE,38,Research Branch,Raleigh
182,60,SAVINGS,8700,2021-12-08,ACTIVE,39,Uptown Branch,Charlotte
